scenario_id,gpu,model,input_length,output_length,batch_size,use_case,description
1,T4,LLaMA_3.2_1B,415,563,1,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
2,T4,LLaMA_3.2_1B,3976,720,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
3,T4,LLaMA_3.2_1B,3006,719,2,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
4,T4,LLaMA_3.2_1B,428,193,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
5,T4,LLaMA_3.2_1B,1601,288,2,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
6,T4,LLaMA_3.2_1B,915,303,1,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
7,T4,LLaMA_3.2_1B,137,52,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
8,T4,LLaMA_3.2_1B,100,109,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
9,T4,LLaMA_3.2_1B,3465,742,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
10,T4,LLaMA_3.2_1B,3294,899,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
11,T4,LLaMA_3.2_1B,2122,910,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
12,T4,LLaMA_3.2_1B,434,546,4,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
13,T4,LLaMA_3.2_1B,2416,846,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
14,T4,LLaMA_3.2_1B,568,190,1,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
15,T4,LLaMA_3.2_1B,2969,701,1,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
16,T4,LLaMA_3.2_1B,1325,356,1,medium_doc,T4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
17,T4,LLaMA_3.2_1B,403,154,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
18,T4,LLaMA_3.2_1B,229,70,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
19,T4,LLaMA_3.2_1B,502,187,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
20,T4,LLaMA_3.2_1B,764,551,1,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
21,A10G,LLaMA_3.2_1B,828,392,1,medium_doc,A10G에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
22,A10G,LLaMA_3_8B,1244,401,1,medium_doc,A10G에서 LLaMA_3_8B 모델로 medium_doc 시나리오
23,A10G,LLaMA_3_8B,2360,683,1,long_analysis,A10G에서 LLaMA_3_8B 모델로 long_analysis 시나리오
24,A10G,LLaMA_3.2_1B,777,724,1,code_gen,A10G에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
25,A10G,LLaMA_3.2_1B,2488,980,4,long_analysis,A10G에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
26,A10G,LLaMA_3.2_1B,1329,239,1,medium_doc,A10G에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
27,A10G,LLaMA_3.2_1B,4015,762,1,long_analysis,A10G에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
28,A10G,LLaMA_3.2_1B,206,102,1,short_chat,A10G에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
29,A10G,LLaMA_3.2_1B,560,445,1,code_gen,A10G에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
30,A10G,LLaMA_3.2_1B,410,538,4,code_gen,A10G에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
31,A10G,LLaMA_3_8B,330,787,1,code_gen,A10G에서 LLaMA_3_8B 모델로 code_gen 시나리오
32,A10G,LLaMA_3.2_1B,2761,873,1,long_analysis,A10G에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
33,A10G,LLaMA_3.2_1B,549,445,4,code_gen,A10G에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
34,A10G,LLaMA_3.2_1B,918,609,2,code_gen,A10G에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
35,A10G,LLaMA_3.2_1B,444,80,1,short_chat,A10G에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
36,A10G,LLaMA_3_8B,450,106,1,short_chat,A10G에서 LLaMA_3_8B 모델로 short_chat 시나리오
37,A10G,LLaMA_3_8B,361,77,1,short_chat,A10G에서 LLaMA_3_8B 모델로 short_chat 시나리오
38,A10G,LLaMA_3.2_1B,755,200,1,code_gen,A10G에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
39,A10G,LLaMA_3.2_1B,3255,717,1,long_analysis,A10G에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
40,A10G,LLaMA_3_8B,681,443,1,code_gen,A10G에서 LLaMA_3_8B 모델로 code_gen 시나리오
41,L40S,LLaMA_3_8B,370,527,2,code_gen,L40S에서 LLaMA_3_8B 모델로 code_gen 시나리오
42,L40S,LLaMA_3_70B,2693,886,1,long_analysis,L40S에서 LLaMA_3_70B 모델로 long_analysis 시나리오
