scenario_id,gpu,model,input_length,output_length,batch_size,use_case,description
1,A100-SXM4-80GB,LLaMA_3.1_8B,916,367,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
2,L40S,LLaMA_3_70B,311,164,2,short_chat,L40S에서 LLaMA_3_70B 모델로 short_chat 시나리오
3,L40S,LLaMA_3.1_8B,1479,471,1,medium_doc,L40S에서 LLaMA_3.1_8B 모델로 medium_doc 시나리오
4,T4,LLaMA_3.2_1B,206,163,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
5,L4,LLaMA_3.1_8B,187,192,1,short_chat,L4에서 LLaMA_3.1_8B 모델로 short_chat 시나리오
6,L40S,LLaMA_3_70B,268,129,1,short_chat,L40S에서 LLaMA_3_70B 모델로 short_chat 시나리오
7,T4,LLaMA_3.2_1B,107,185,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
8,L40S,LLaMA_3_70B,901,353,2,medium_doc,L40S에서 LLaMA_3_70B 모델로 medium_doc 시나리오
9,A10G,LLaMA_3_8B,112,109,1,short_chat,A10G에서 LLaMA_3_8B 모델로 short_chat 시나리오
10,T4,LLaMA_3.2_1B,327,409,1,code_gen,T4에서 LLaMA_3.2_1B 모델로 code_gen 시나리오
11,L4,LLaMA_3_8B,1727,460,1,medium_doc,L4에서 LLaMA_3_8B 모델로 medium_doc 시나리오
12,T4,LLaMA_3.2_1B,2485,527,4,long_analysis,T4에서 LLaMA_3.2_1B 모델로 long_analysis 시나리오
13,L40S,LLaMA_3_8B,2662,964,1,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
14,A100-SXM4-80GB,LLaMA_3_70B,3216,729,1,long_analysis,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 long_analysis 시나리오
15,A100-SXM4-80GB,LLaMA_3_70B,1867,220,1,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
16,T4,LLaMA_3.2_1B,338,117,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
17,A100,LLaMA_3_70B,2969,531,1,long_analysis,A100에서 LLaMA_3_70B 모델로 long_analysis 시나리오
18,A100-SXM4-80GB,LLaMA_3_70B,1627,345,2,medium_doc,A100-SXM4-80GB에서 LLaMA_3_70B 모델로 medium_doc 시나리오
19,A100-SXM4-80GB,LLaMA_3.1_8B,468,602,1,code_gen,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 code_gen 시나리오
20,A100-SXM4-80GB,LLaMA_3.1_8B,236,241,1,code_gen,A100-SXM4-80GB에서 LLaMA_3.1_8B 모델로 code_gen 시나리오
21,L40S,LLaMA_3.1_8B,844,406,1,code_gen,L40S에서 LLaMA_3.1_8B 모델로 code_gen 시나리오
22,A100,LLaMA_3_70B,829,321,2,code_gen,A100에서 LLaMA_3_70B 모델로 code_gen 시나리오
23,L40S,LLaMA_3_8B,3919,948,1,long_analysis,L40S에서 LLaMA_3_8B 모델로 long_analysis 시나리오
24,L4,LLaMA_3.2_1B,2040,319,1,medium_doc,L4에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
25,A10G,LLaMA_3.2_1B,1702,481,1,medium_doc,A10G에서 LLaMA_3.2_1B 모델로 medium_doc 시나리오
26,T4,LLaMA_3.2_1B,155,196,1,short_chat,T4에서 LLaMA_3.2_1B 모델로 short_chat 시나리오
27,A10G,LLaMA_3_8B,416,706,1,code_gen,A10G에서 LLaMA_3_8B 모델로 code_gen 시나리오
